# k     P(k)
0 4.39804e+12
1 2.16942e-05
2 2.35393e-05
3 2.52865e-05
4 2.2499e-05
5 1.68316e-05
6 1.51156e-05
7 1.33961e-05
8 1.20415e-05
9 1.09986e-05
10 9.73033e-06
11 8.18786e-06
12 7.81277e-06
13 6.71859e-06
14 6.12005e-06
15 5.45631e-06
16 4.72757e-06
17 4.53916e-06
18 4.30913e-06
19 4.01123e-06
20 3.81116e-06
21 3.53799e-06
22 3.31363e-06
23 3.04009e-06
24 2.84737e-06
25 2.65237e-06
26 2.49473e-06
27 2.42608e-06
28 2.30493e-06
29 2.17222e-06
30 2.10478e-06
31 1.97654e-06
32 1.95683e-06
33 1.8776e-06
34 1.7833e-06
35 1.7942e-06
36 1.68933e-06
37 1.69574e-06
38 1.65314e-06
39 1.58117e-06
40 1.57179e-06
41 1.53973e-06
42 1.49581e-06
43 1.5015e-06
44 1.45499e-06
45 1.42339e-06
46 1.40463e-06
47 1.39307e-06
48 1.35455e-06
49 1.35608e-06
50 1.33679e-06
51 1.30639e-06
52 1.28225e-06
53 1.26536e-06
54 1.25541e-06
55 1.25653e-06
56 1.23763e-06
57 1.22751e-06
58 1.21102e-06
59 1.19579e-06
60 1.18373e-06
61 1.18404e-06
62 1.15257e-06
63 1.15062e-06
64 1.11091e-06
65 9.9432e-07
66 9.4495e-07
67 9.05525e-07
68 8.73704e-07
69 8.48601e-07
70 8.4273e-07
71 8.32484e-07
72 8.40153e-07
73 8.37128e-07
74 8.43334e-07
75 8.51212e-07
76 8.38935e-07
77 8.73736e-07
78 8.70998e-07
79 8.65563e-07
80 8.71245e-07
81 8.79266e-07
82 8.83925e-07
83 8.87002e-07
84 8.96312e-07
85 8.61553e-07
86 8.72906e-07
87 8.91353e-07
88 8.56976e-07
89 8.54587e-07
90 8.40246e-07
91 8.26173e-07
92 8.18954e-07
93 8.28396e-07
94 8.0439e-07
95 8.1057e-07
96 8.66036e-07
97 8.5926e-07
98 9.08473e-07
99 9.2804e-07
100 9.3942e-07
101 9.02025e-07
102 9.80388e-07
103 9.77202e-07
104 9.18483e-07
105 1.022e-06
106 9.72185e-07
107 9.83694e-07
108 1.05822e-06
109 1.0804e-06
110 9.49313e-07
111 0.0
112 0.0
113 0.0
114 0.0
115 0.0
116 0.0
117 0.0
118 0.0
119 0.0
120 0.0
121 0.0
122 0.0
123 0.0
124 0.0
125 0.0
126 0.0
127 0.0
