# iBin   k_center   P(k)
0  1.02986  1.56027e-06
1  1.09229  0.0
2  1.15851  0.0
3  1.22873  0.0
4  1.30322  0.0
5  1.38222  2.87103e-05
6  1.466  0.0
7  1.55487  0.0
8  1.64913  0.0
9  1.74909  3.28292e-05
10  1.85512  0.0
11  1.96758  1.46499e-06
12  2.08685  0.0
13  2.21335  2.49954e-05
14  2.34752  0.0
15  2.48982  3.00025e-05
16  2.64075  0.0
17  2.80083  2.4729e-05
18  2.97061  2.17733e-05
19  3.15069  2.87048e-05
20  3.34168  2.15981e-05
21  3.54425  2.6698e-05
22  3.75909  2.61643e-05
23  3.98697  1.1216e-05
24  4.22865  2.99156e-05
25  4.48499  1.97458e-05
26  4.75686  2.04838e-05
27  5.04521  1.80881e-05
28  5.35105  1.831e-05
29  5.67542  1.28615e-05
30  6.01946  1.54954e-05
31  6.38435  1.49583e-05
32  6.77136  1.49433e-05
33  7.18183  1.33428e-05
34  7.61718  1.40359e-05
35  8.07893  1.21207e-05
36  8.56866  1.17073e-05
37  9.08808  1.0765e-05
38  9.63899  1.15781e-05
39  10.2233  9.78022e-06
40  10.843  9.33152e-06
41  11.5003  8.03788e-06
42  12.1974  8.3189e-06
43  12.9368  7.23851e-06
44  13.721  6.37771e-06
45  14.5528  6.11378e-06
46  15.435  5.57017e-06
47  16.3706  4.70425e-06
48  17.363  4.51961e-06
49  18.4155  4.34987e-06
50  19.5318  4.01497e-06
51  20.7158  3.74476e-06
52  21.9716  3.4476e-06
53  23.3035  3.05525e-06
54  24.7161  2.83224e-06
55  26.2143  2.50588e-06
56  27.8034  2.40317e-06
57  29.4888  2.17861e-06
58  31.2764  2.01486e-06
59  33.1723  1.8834e-06
60  35.1832  1.77985e-06
61  37.3159  1.69071e-06
62  39.578  1.5917e-06
63  41.9771  1.5237e-06
64  44.5217  1.45505e-06
65  47.2206  1.39588e-06
66  50.083  1.34e-06
67  53.119  1.27081e-06
68  56.339  1.23625e-06
69  59.7542  1.20114e-06
70  63.3764  1.12948e-06
71  67.2182  9.18221e-07
72  71.2929  8.40785e-07
73  75.6146  8.47535e-07
74  80.1982  8.73286e-07
75  85.0597  8.81804e-07
76  90.2159  8.48688e-07
77  95.6847  8.34933e-07
78  101.485  9.38926e-07
79  107.637  9.72248e-07
