# binCenter  P(k)
0.69282 1.56027e-06
2.07846 2.50729e-05
3.4641 2.57348e-05
4.84974 1.96315e-05
6.23538 1.48106e-05
7.62102 1.2966e-05
9.00666 1.1546e-05
10.3923 9.56852e-06
11.7779 8.14437e-06
13.1636 7.01902e-06
14.5492 6.0375e-06
15.9349 5.15307e-06
17.3205 4.4849e-06
18.7061 4.2448e-06
20.0918 3.85515e-06
21.4774 3.55347e-06
22.8631 3.20117e-06
24.2487 2.87822e-06
25.6344 2.62728e-06
27.02 2.44211e-06
28.4056 2.30721e-06
29.7913 2.18444e-06
31.1769 2.00154e-06
32.5626 1.96202e-06
33.9482 1.82103e-06
35.3338 1.7816e-06
36.7195 1.71856e-06
38.1051 1.64578e-06
39.4908 1.59016e-06
40.8764 1.56667e-06
42.262 1.49426e-06
43.6477 1.51035e-06
45.0333 1.43524e-06
46.419 1.38911e-06
47.8046 1.39936e-06
49.1902 1.34146e-06
50.5759 1.34188e-06
51.9615 1.29295e-06
53.3472 1.26091e-06
54.7328 1.27131e-06
56.1184 1.23755e-06
57.5041 1.22869e-06
58.8897 1.20568e-06
60.2754 1.17695e-06
61.661 1.18393e-06
63.0466 1.14803e-06
64.4323 1.10438e-06
65.8179 9.82165e-07
67.2036 9.0918e-07
68.5892 8.71504e-07
69.9749 8.43715e-07
71.3605 8.37692e-07
72.7461 8.38067e-07
74.1318 8.38825e-07
75.5174 8.50717e-07
76.9031 8.53324e-07
78.2887 8.71598e-07
79.6743 8.6487e-07
81.06 8.77129e-07
82.4456 8.84082e-07
83.8313 8.90952e-07
85.2169 8.72808e-07
86.6025 8.80018e-07
87.9882 8.75097e-07
89.3738 8.49304e-07
90.7595 8.34784e-07
92.1451 8.23849e-07
93.5307 8.23744e-07
94.9164 8.002e-07
96.302 8.56712e-07
97.6877 8.71532e-07
99.0733 9.22677e-07
100.459 9.17305e-07
101.845 9.52674e-07
103.23 9.76041e-07
104.616 9.66771e-07
106.002 9.26326e-07
107.387 9.87514e-07
108.773 1.01709e-06
110.158 1.47513e-06
