diff -y --suppress-common-lines output_EX3.txt output_origin1.txt 
1.367171259 2.564880944e-05 17                                | 1.367171259 2.564881061e-05 17
2.385326409 2.436738391e-05 41                                | 2.385326409 2.436738341e-05 41
3.401583682 2.522773822e-05 89                                | 3.401583682 2.522773796e-05 89
4.412521673 2.213334125e-05 129                               | 4.412521673 2.213334097e-05 129
5.454827237 1.73518324e-05 225                                | 5.454827237 1.735183232e-05 225
6.434946136 1.486414153e-05 253                               | 6.434946136 1.48641412e-05 253
7.436757396 1.347843355e-05 393                               | 7.436757396 1.347843337e-05 393
8.444535568 1.192143755e-05 461                               | 8.444535568 1.192143721e-05 461
9.458928972 1.10305452e-05 613                                | 9.458928972 1.103054501e-05 613
10.46210466 9.849994096e-06 713                               | 10.46210466 9.849993999e-06 713
11.44954903 8.255109748e-06 845                               | 11.44954903 8.255109618e-06 845
12.45324773 7.828555225e-06 1025                              | 12.45324773 7.828555079e-06 1025
13.47758609 6.794700173e-06 1229                              | 13.47758609 6.79470007e-06 1229
14.47601472 6.29609085e-06 1313                               | 14.47601472 6.296090769e-06 1313
15.46860292 5.582478735e-06 1585                              | 15.46860292 5.582478604e-06 1585
16.46572349 4.874173742e-06 1701                              | 16.46572349 4.87417359e-06 1701
17.46543308 4.675317601e-06 2021                              | 17.46543308 4.675317514e-06 2021
18.46898169 4.390217051e-06 2181                              | 18.46898169 4.390216978e-06 2181
19.47397238 4.141146254e-06 2473                              | 19.47397238 4.141146201e-06 2473
20.47820638 3.910449386e-06 2697                              | 20.47820638 3.910449302e-06 2697
21.47671439 3.623194231e-06 2949                              | 21.47671439 3.623194155e-06 2949
22.47082386 3.388117965e-06 3237                              | 22.47082386 3.388117909e-06 3237
23.47569929 3.139438449e-06 3577                              | 23.47569929 3.139438387e-06 3577
24.47364525 2.90970465e-06 3761                               | 24.47364525 2.9097046e-06 3761
25.47358607 2.731490173e-06 4249                              | 25.47358607 2.731490119e-06 4249
26.48254416 2.538556121e-06 4465                              | 26.48254416 2.538556062e-06 4465
27.48833039 2.466074558e-06 4937                              | 27.48833039 2.466074511e-06 4937
28.48344364 2.324917861e-06 5013                              | 28.48344364 2.324917789e-06 5013
29.47958157 2.1848959e-06 5677                                | 29.47958157 2.184895857e-06 5677
30.47376335 2.121412598e-06 5773                              | 30.47376335 2.121412551e-06 5773
31.47818108 1.960430364e-06 6489                              | 31.47818108 1.96043032e-06 6489
32.48172678 1.925422002e-06 6653                              | 32.48172678 1.925421961e-06 6653
33.4843691 1.837102834e-06 7229                               | 33.4843691 1.837102794e-06 7229
34.48673843 1.772053709e-06 7561                              | 34.48673843 1.772053655e-06 7561
35.48604077 1.767435698e-06 8033                              | 35.48604077 1.767435657e-06 8033
36.48713993 1.643248484e-06 8469                              | 36.48713993 1.643248429e-06 8469
37.48215335 1.621714062e-06 8889                              | 37.48215335 1.621714018e-06 8889
38.48147449 1.558775332e-06 9441                              | 38.48147449 1.558775297e-06 9441
39.48354926 1.512722268e-06 9965                              | 39.48354926 1.512722229e-06 9965
40.48010208 1.504842775e-06 10309                             | 40.48010208 1.504842727e-06 10309
41.48015446 1.464735489e-06 11033                             | 41.48015446 1.464735451e-06 11033
42.48181226 1.432512246e-06 11433                             | 42.48181226 1.432512214e-06 11433
43.48736144 1.435874001e-06 12169                             | 43.48736144 1.435873975e-06 12169
44.49186508 1.417834598e-06 12561                             | 44.49186508 1.41783456e-06 12561
45.49170761 1.404745117e-06 13157                             | 45.49170761 1.404745097e-06 13157
46.4864259 1.406886146e-06 13553                              | 46.4864259 1.406886123e-06 13553
47.48236471 1.442504053e-06 14393                             | 47.48236471 1.442504027e-06 14393
48.48399907 1.433771384e-06 14869                             | 48.48399907 1.433771355e-06 14869
49.48505401 1.473774547e-06 15641                             | 49.48505401 1.473774526e-06 15641
