diff -y --suppress-common-lines output_EX4.txt output_EX2.txt 
1.367171259 2.564881146e-05 17                                | 1.367171259 2.564881043e-05 17
2.385326409 2.436738378e-05 41                                | 2.385326409 2.436738374e-05 41
3.401583682 2.522773909e-05 89                                | 3.401583682 2.52277386e-05 89
4.412521673 2.213334184e-05 129                               | 4.412521673 2.213334161e-05 129
5.454827237 1.735183257e-05 225                               | 5.454827237 1.735183227e-05 225
6.434946136 1.486414155e-05 253                               | 6.434946136 1.486414135e-05 253
7.436757396 1.347843356e-05 393                               | 7.436757396 1.347843343e-05 393
8.444535568 1.192143756e-05 461                               | 8.444535568 1.192143726e-05 461
9.458928972 1.103054516e-05 613                               | 9.458928972 1.103054495e-05 613
10.46210466 9.849994168e-06 713                               | 10.46210466 9.84999414e-06 713
11.44954903 8.255109802e-06 845                               | 11.44954903 8.25510969e-06 845
12.45324773 7.828555208e-06 1025                              | 12.45324773 7.82855505e-06 1025
13.47758609 6.794700266e-06 1229                              | 13.47758609 6.794700113e-06 1229
14.47601472 6.296090878e-06 1313                              | 14.47601472 6.296090821e-06 1313
15.46860292 5.582478724e-06 1585                              | 15.46860292 5.582478618e-06 1585
16.46572349 4.87417368e-06 1701                               | 16.46572349 4.874173614e-06 1701
17.46543308 4.675317586e-06 2021                              | 17.46543308 4.675317495e-06 2021
18.46898169 4.390217075e-06 2181                              | 18.46898169 4.390216969e-06 2181
19.47397238 4.141146286e-06 2473                              | 19.47397238 4.141146183e-06 2473
20.47820638 3.910449389e-06 2697                              | 20.47820638 3.910449282e-06 2697
21.47671439 3.623194215e-06 2949                              | 21.47671439 3.623194169e-06 2949
22.47082386 3.388117986e-06 3237                              | 22.47082386 3.388117897e-06 3237
23.47569929 3.13943847e-06 3577                               | 23.47569929 3.139438405e-06 3577
24.47364525 2.909704663e-06 3761                              | 24.47364525 2.9097046e-06 3761
25.47358607 2.731490177e-06 4249                              | 25.47358607 2.731490107e-06 4249
26.48254416 2.53855611e-06 4465                               | 26.48254416 2.538556061e-06 4465
27.48833039 2.466074566e-06 4937                              | 27.48833039 2.466074519e-06 4937
28.48344364 2.324917862e-06 5013                              | 28.48344364 2.324917813e-06 5013
29.47958157 2.184895912e-06 5677                              | 29.47958157 2.18489585e-06 5677
30.47376335 2.121412598e-06 5773                              | 30.47376335 2.121412548e-06 5773
31.47818108 1.960430366e-06 6489                              | 31.47818108 1.960430317e-06 6489
32.48172678 1.925422005e-06 6653                              | 32.48172678 1.925421958e-06 6653
33.4843691 1.837102842e-06 7229                               | 33.4843691 1.837102787e-06 7229
34.48673843 1.772053714e-06 7561                              | 34.48673843 1.772053662e-06 7561
35.48604077 1.767435698e-06 8033                              | 35.48604077 1.767435659e-06 8033
36.48713993 1.643248482e-06 8469                              | 36.48713993 1.643248434e-06 8469
37.48215335 1.621714064e-06 8889                              | 37.48215335 1.621714026e-06 8889
38.48147449 1.558775339e-06 9441                              | 38.48147449 1.558775296e-06 9441
39.48354926 1.512722266e-06 9965                              | 39.48354926 1.512722223e-06 9965
40.48010208 1.504842771e-06 10309                             | 40.48010208 1.504842738e-06 10309
41.48015446 1.46473549e-06 11033                              | 41.48015446 1.46473546e-06 11033
42.48181226 1.432512254e-06 11433                             | 42.48181226 1.432512215e-06 11433
43.48736144 1.435874009e-06 12169                             | 43.48736144 1.43587398e-06 12169
44.49186508 1.417834598e-06 12561                             | 44.49186508 1.417834558e-06 12561
45.49170761 1.404745131e-06 13157                             | 45.49170761 1.404745091e-06 13157
46.4864259 1.406886158e-06 13553                              | 46.4864259 1.406886124e-06 13553
47.48236471 1.442504051e-06 14393                             | 47.48236471 1.442504016e-06 14393
48.48399907 1.433771393e-06 14869                             | 48.48399907 1.433771352e-06 14869
49.48505401 1.473774549e-06 15641                             | 49.48505401 1.473774516e-06 15641
