diff -y --suppress-common-lines output_origin1.txt output_EX1.txt
1.367171259 2.564881061e-05 17                                | 1.367171259 2.56488108e-05 17
2.385326409 2.436738341e-05 41                                | 2.385326409 2.436738315e-05 41
3.401583682 2.522773796e-05 89                                | 3.401583682 2.522773829e-05 89
4.412521673 2.213334097e-05 129                               | 4.412521673 2.213334169e-05 129
5.454827237 1.735183232e-05 225                               | 5.454827237 1.735183268e-05 225
6.434946136 1.48641412e-05 253                                | 6.434946136 1.486414145e-05 253
7.436757396 1.347843337e-05 393                               | 7.436757396 1.347843362e-05 393
8.444535568 1.192143721e-05 461                               | 8.444535568 1.192143753e-05 461
9.458928972 1.103054501e-05 613                               | 9.458928972 1.103054519e-05 613
10.46210466 9.849993999e-06 713                               | 10.46210466 9.849994155e-06 713
11.44954903 8.255109618e-06 845                               | 11.44954903 8.255109826e-06 845
12.45324773 7.828555079e-06 1025                              | 12.45324773 7.828555281e-06 1025
13.47758609 6.79470007e-06 1229                               | 13.47758609 6.794700257e-06 1229
14.47601472 6.296090769e-06 1313                              | 14.47601472 6.29609085e-06 1313
15.46860292 5.582478604e-06 1585                              | 15.46860292 5.582478694e-06 1585
16.46572349 4.87417359e-06 1701                               | 16.46572349 4.874173668e-06 1701
17.46543308 4.675317514e-06 2021                              | 17.46543308 4.675317578e-06 2021
18.46898169 4.390216978e-06 2181                              | 18.46898169 4.39021705e-06 2181
19.47397238 4.141146201e-06 2473                              | 19.47397238 4.141146262e-06 2473
20.47820638 3.910449302e-06 2697                              | 20.47820638 3.910449378e-06 2697
21.47671439 3.623194155e-06 2949                              | 21.47671439 3.623194236e-06 2949
22.47082386 3.388117909e-06 3237                              | 22.47082386 3.38811796e-06 3237
23.47569929 3.139438387e-06 3577                              | 23.47569929 3.13943847e-06 3577
24.47364525 2.9097046e-06 3761                                | 24.47364525 2.909704692e-06 3761
25.47358607 2.731490119e-06 4249                              | 25.47358607 2.731490176e-06 4249
26.48254416 2.538556062e-06 4465                              | 26.48254416 2.538556138e-06 4465
27.48833039 2.466074511e-06 4937                              | 27.48833039 2.466074567e-06 4937
28.48344364 2.324917789e-06 5013                              | 28.48344364 2.324917871e-06 5013
29.47958157 2.184895857e-06 5677                              | 29.47958157 2.184895917e-06 5677
30.47376335 2.121412551e-06 5773                              | 30.47376335 2.12141261e-06 5773
31.47818108 1.96043032e-06 6489                               | 31.47818108 1.960430368e-06 6489
32.48172678 1.925421961e-06 6653                              | 32.48172678 1.925422009e-06 6653
33.4843691 1.837102794e-06 7229                               | 33.4843691 1.837102842e-06 7229
34.48673843 1.772053655e-06 7561                              | 34.48673843 1.772053712e-06 7561
35.48604077 1.767435657e-06 8033                              | 35.48604077 1.767435703e-06 8033
36.48713993 1.643248429e-06 8469                              | 36.48713993 1.643248481e-06 8469
37.48215335 1.621714018e-06 8889                              | 37.48215335 1.621714063e-06 8889
38.48147449 1.558775297e-06 9441                              | 38.48147449 1.558775344e-06 9441
39.48354926 1.512722229e-06 9965                              | 39.48354926 1.512722266e-06 9965
40.48010208 1.504842727e-06 10309                             | 40.48010208 1.504842773e-06 10309
41.48015446 1.464735451e-06 11033                             | 41.48015446 1.464735487e-06 11033
42.48181226 1.432512214e-06 11433                             | 42.48181226 1.432512246e-06 11433
43.48736144 1.435873975e-06 12169                             | 43.48736144 1.435874016e-06 12169
44.49186508 1.41783456e-06 12561                              | 44.49186508 1.417834598e-06 12561
45.49170761 1.404745097e-06 13157                             | 45.49170761 1.404745125e-06 13157
46.4864259 1.406886123e-06 13553                              | 46.4864259 1.406886154e-06 13553
47.48236471 1.442504027e-06 14393                             | 47.48236471 1.442504057e-06 14393
48.48399907 1.433771355e-06 14869                             | 48.48399907 1.433771389e-06 14869
49.48505401 1.473774526e-06 15641                             | 49.48505401 1.473774547e-06 15641
