diff -y --suppress-common-lines output_EX2.txt output_EX1.txt
1.367171259 2.56488119e-05 17                                 | 1.367171259 2.56488108e-05 17
2.385326409 2.436738366e-05 41                                | 2.385326409 2.436738315e-05 41
3.401583682 2.522773812e-05 89                                | 3.401583682 2.522773829e-05 89
4.412521673 2.213334127e-05 129                               | 4.412521673 2.213334169e-05 129
5.454827237 1.73518326e-05 225                                | 5.454827237 1.735183268e-05 225
6.434946136 1.486414166e-05 253                               | 6.434946136 1.486414145e-05 253
7.436757396 1.347843359e-05 393                               | 7.436757396 1.347843362e-05 393
8.444535568 1.19214375e-05 461                                | 8.444535568 1.192143753e-05 461
10.46210466 9.849994151e-06 713                               | 10.46210466 9.849994155e-06 713
11.44954903 8.25510976e-06 845                                | 11.44954903 8.255109826e-06 845
12.45324773 7.828555247e-06 1025                              | 12.45324773 7.828555281e-06 1025
13.47758609 6.794700294e-06 1229                              | 13.47758609 6.794700257e-06 1229
14.47601472 6.296090867e-06 1313                              | 14.47601472 6.29609085e-06 1313
15.46860292 5.582478695e-06 1585                              | 15.46860292 5.582478694e-06 1585
16.46572349 4.874173725e-06 1701                              | 16.46572349 4.874173668e-06 1701
17.46543308 4.675317621e-06 2021                              | 17.46543308 4.675317578e-06 2021
18.46898169 4.39021708e-06 2181                               | 18.46898169 4.39021705e-06 2181
19.47397238 4.141146258e-06 2473                              | 19.47397238 4.141146262e-06 2473
20.47820638 3.910449362e-06 2697                              | 20.47820638 3.910449378e-06 2697
21.47671439 3.623194233e-06 2949                              | 21.47671439 3.623194236e-06 2949
22.47082386 3.388117975e-06 3237                              | 22.47082386 3.38811796e-06 3237
23.47569929 3.139438448e-06 3577                              | 23.47569929 3.13943847e-06 3577
24.47364525 2.909704673e-06 3761                              | 24.47364525 2.909704692e-06 3761
25.47358607 2.731490181e-06 4249                              | 25.47358607 2.731490176e-06 4249
26.48254416 2.53855611e-06 4465                               | 26.48254416 2.538556138e-06 4465
27.48833039 2.466074565e-06 4937                              | 27.48833039 2.466074567e-06 4937
28.48344364 2.324917859e-06 5013                              | 28.48344364 2.324917871e-06 5013
29.47958157 2.184895913e-06 5677                              | 29.47958157 2.184895917e-06 5677
30.47376335 2.121412599e-06 5773                              | 30.47376335 2.12141261e-06 5773
31.47818108 1.960430372e-06 6489                              | 31.47818108 1.960430368e-06 6489
32.48172678 1.925422012e-06 6653                              | 32.48172678 1.925422009e-06 6653
33.4843691 1.837102837e-06 7229                               | 33.4843691 1.837102842e-06 7229
34.48673843 1.772053711e-06 7561                              | 34.48673843 1.772053712e-06 7561
35.48604077 1.767435701e-06 8033                              | 35.48604077 1.767435703e-06 8033
36.48713993 1.643248479e-06 8469                              | 36.48713993 1.643248481e-06 8469
37.48215335 1.621714066e-06 8889                              | 37.48215335 1.621714063e-06 8889
38.48147449 1.558775337e-06 9441                              | 38.48147449 1.558775344e-06 9441
39.48354926 1.51272227e-06 9965                               | 39.48354926 1.512722266e-06 9965
40.48010208 1.504842772e-06 10309                             | 40.48010208 1.504842773e-06 10309
41.48015446 1.464735494e-06 11033                             | 41.48015446 1.464735487e-06 11033
42.48181226 1.432512243e-06 11433                             | 42.48181226 1.432512246e-06 11433
43.48736144 1.435874013e-06 12169                             | 43.48736144 1.435874016e-06 12169
44.49186508 1.417834603e-06 12561                             | 44.49186508 1.417834598e-06 12561
45.49170761 1.404745122e-06 13157                             | 45.49170761 1.404745125e-06 13157
46.4864259 1.40688616e-06 13553                               | 46.4864259 1.406886154e-06 13553
47.48236471 1.442504059e-06 14393                             | 47.48236471 1.442504057e-06 14393
48.48399907 1.433771394e-06 14869                             | 48.48399907 1.433771389e-06 14869
49.48505401 1.47377455e-06 15641                              | 49.48505401 1.473774547e-06 15641
