diff -y --suppress-common-lines output_EX4.txt output_EX3.txt
1.367171259 2.626438531e-06 17                                | 1.367171259 2.564880959e-05 17
2.385326409 2.495220255e-06 41                                | 2.385326409 2.436738383e-05 41
3.401583682 2.583320431e-06 89                                | 3.401583682 2.522773851e-05 89
4.412521673 2.26645414e-06 129                                | 4.412521673 2.213334165e-05 129
5.454827237 1.776827672e-06 225                               | 5.454827237 1.73518326e-05 225
6.434946136 1.522088075e-06 253                               | 6.434946136 1.486414171e-05 253
7.436757396 1.3801916e-06 393                                 | 7.436757396 1.34784336e-05 393
8.444535568 1.220755194e-06 461                               | 8.444535568 1.192143735e-05 461
9.458928972 1.12952782e-06 613                                | 9.458928972 1.103054508e-05 613
10.46210466 1.008639374e-06 713                               | 10.46210466 9.849994195e-06 713
11.44954903 8.453232561e-07 845                               | 11.44954903 8.255109694e-06 845
12.45324773 8.016440619e-07 1025                              | 12.45324773 7.828555239e-06 1025
13.47758609 6.957773049e-07 1229                              | 13.47758609 6.794700283e-06 1229
14.47601472 6.44719702e-07 1313                               | 14.47601472 6.296090854e-06 1313
15.46860292 5.716458202e-07 1585                              | 15.46860292 5.582478684e-06 1585
16.46572349 4.991153826e-07 1701                              | 16.46572349 4.874173709e-06 1701
17.46543308 4.787525199e-07 2021                              | 17.46543308 4.6753176e-06 2021
18.46898169 4.495582289e-07 2181                              | 18.46898169 4.390217048e-06 2181
19.47397238 4.240533782e-07 2473                              | 19.47397238 4.141146297e-06 2473
20.47820638 4.004300205e-07 2697                              | 20.47820638 3.910449369e-06 2697
21.47671439 3.710150873e-07 2949                              | 21.47671439 3.623194219e-06 2949
22.47082386 3.469432797e-07 3237                              | 22.47082386 3.388117973e-06 3237
23.47569929 3.214785008e-07 3577                              | 23.47569929 3.13943847e-06 3577
24.47364525 2.979537597e-07 3761                              | 24.47364525 2.909704673e-06 3761
25.47358607 2.79704597e-07 4249                               | 25.47358607 2.731490169e-06 4249
26.48254416 2.599481478e-07 4465                              | 26.48254416 2.538556125e-06 4465
27.48833039 2.525260347e-07 4937                              | 27.48833039 2.466074567e-06 4937
28.48344364 2.380715894e-07 5013                              | 28.48344364 2.324917853e-06 5013
29.47958157 2.23733342e-07 5677                               | 29.47958157 2.184895914e-06 5677
30.47376335 2.172326378e-07 5773                              | 30.47376335 2.121412611e-06 5773
31.47818108 2.007480675e-07 6489                              | 31.47818108 1.960430365e-06 6489
32.48172678 1.971632156e-07 6653                              | 32.48172678 1.925422008e-06 6653
33.4843691 1.881193306e-07 7229                               | 33.4843691 1.837102837e-06 7229
34.48673843 1.814582994e-07 7561                              | 34.48673843 1.772053711e-06 7561
35.48604077 1.809854158e-07 8033                              | 35.48604077 1.767435693e-06 8033
36.48713993 1.682686436e-07 8469                              | 36.48713993 1.643248484e-06 8469
37.48215335 1.660635217e-07 8889                              | 37.48215335 1.621714054e-06 8889
38.48147449 1.596185939e-07 9441                              | 38.48147449 1.558775342e-06 9441
39.48354926 1.549027599e-07 9965                              | 39.48354926 1.512722265e-06 9965
40.48010208 1.540959069e-07 10309                             | 40.48010208 1.504842778e-06 10309
41.48015446 1.499889135e-07 11033                             | 41.48015446 1.464735491e-06 11033
42.48181226 1.466892548e-07 11433                             | 42.48181226 1.43251224e-06 11433
43.48736144 1.470334991e-07 12169                             | 43.48736144 1.43587401e-06 12169
44.49186508 1.451862635e-07 12561                             | 44.49186508 1.4178346e-06 12561
45.49170761 1.438459012e-07 13157                             | 45.49170761 1.404745118e-06 13157
46.4864259 1.440651419e-07 13553                              | 46.4864259 1.406886157e-06 13553
47.48236471 1.477124151e-07 14393                             | 47.48236471 1.442504052e-06 14393
48.48399907 1.468181896e-07 14869                             | 48.48399907 1.433771394e-06 14869
49.48505401 1.509145138e-07 15641                             | 49.48505401 1.473774546e-06 15641
