diff -y --suppress-common-lines output_EX5_4.txt output_EX5_2.txt
1.367171259 2.626438841e-06 17                                | 1.367171259 2.626438842e-06 17
2.385326409 2.495220277e-06 41                                | 2.385326409 2.495220138e-06 41
3.401583682 2.583320393e-06 89                                | 3.401583682 2.583320416e-06 89
4.412521673 2.266454197e-06 129                               | 4.412521673 2.266454118e-06 129
5.454827237 1.776827652e-06 225                               | 5.454827237 1.776827682e-06 225
6.434946136 1.522088083e-06 253                               | 6.434946136 1.522088094e-06 253
7.436757396 1.380191581e-06 393                               | 7.436757396 1.380191578e-06 393
8.444535568 1.220755212e-06 461                               | 8.444535568 1.220755206e-06 461
9.458928972 1.129527813e-06 613                               | 9.458928972 1.129527835e-06 613
10.46210466 1.008639358e-06 713                               | 10.46210466 1.008639405e-06 713
11.44954903 8.453232489e-07 845                               | 11.44954903 8.453232479e-07 845
12.45324773 8.016440685e-07 1025                              | 12.45324773 8.016440676e-07 1025
13.47758609 6.957773041e-07 1229                              | 13.47758609 6.957773027e-07 1229
14.47601472 6.447197044e-07 1313                              | 14.47601472 6.447197069e-07 1313
15.46860292 5.716458219e-07 1585                              | 15.46860292 5.716458181e-07 1585
16.46572349 4.991153818e-07 1701                              | 16.46572349 4.991153791e-07 1701
17.46543308 4.78752522e-07 2021                               | 17.46543308 4.787525218e-07 2021
18.46898169 4.495582296e-07 2181                              | 18.46898169 4.495582283e-07 2181
19.47397238 4.24053378e-07 2473                               | 19.47397238 4.240533778e-07 2473
20.47820638 4.004300215e-07 2697                              | 20.47820638 4.004300178e-07 2697
21.47671439 3.710150886e-07 2949                              | 21.47671439 3.710150916e-07 2949
22.47082386 3.469432793e-07 3237                              | 22.47082386 3.469432808e-07 3237
23.47569929 3.21478501e-07 3577                               | 23.47569929 3.214785e-07 3577
24.47364525 2.979537589e-07 3761                              | 24.47364525 2.97953759e-07 3761
25.47358607 2.797045947e-07 4249                              | 25.47358607 2.797045951e-07 4249
26.48254416 2.599481479e-07 4465                              | 26.48254416 2.599481476e-07 4465
27.48833039 2.525260361e-07 4937                              | 27.48833039 2.525260346e-07 4937
28.48344364 2.380715905e-07 5013                              | 28.48344364 2.380715887e-07 5013
29.47958157 2.237333421e-07 5677                              | 29.47958157 2.23733341e-07 5677
30.47376335 2.172326404e-07 5773                              | 30.47376335 2.172326455e-07 5773
31.47818108 2.007480697e-07 6489                              | 31.47818108 2.007480683e-07 6489
32.48172678 1.971632153e-07 6653                              | 32.48172678 1.971632158e-07 6653
33.4843691 1.8811933e-07 7229                                 | 33.4843691 1.881193291e-07 7229
34.48673843 1.814583002e-07 7561                              | 34.48673843 1.814583001e-07 7561
35.48604077 1.809854141e-07 8033                              | 35.48604077 1.809854135e-07 8033
36.48713993 1.68268644e-07 8469                               | 36.48713993 1.682686446e-07 8469
37.48215335 1.660635207e-07 8889                              | 37.48215335 1.6606352e-07 8889
38.48147449 1.596185964e-07 9441                              | 38.48147449 1.596185952e-07 9441
39.48354926 1.549027602e-07 9965                              | 39.48354926 1.549027598e-07 9965
40.48010208 1.540959065e-07 10309                             | 40.48010208 1.540959034e-07 10309
41.48015446 1.499889142e-07 11033                             | 41.48015446 1.499889138e-07 11033
42.48181226 1.466892541e-07 11433                             | 42.48181226 1.466892547e-07 11433
43.48736144 1.470335001e-07 12169                             | 43.48736144 1.47033498e-07 12169
44.49186508 1.451862634e-07 12561                             | 44.49186508 1.451862621e-07 12561
45.49170761 1.438459018e-07 13157                             | 45.49170761 1.438458995e-07 13157
46.4864259 1.44065143e-07 13553                               | 46.4864259 1.440651408e-07 13553
47.48236471 1.47712415e-07 14393                              | 47.48236471 1.477124148e-07 14393
48.48399907 1.468181894e-07 14869                             | 48.48399907 1.468181901e-07 14869
49.48505401 1.509145139e-07 15641                             | 49.48505401 1.509145134e-07 15641



[daint][yyuqi@daint-ln002 EX13]$ diff -y --suppress-common-lines output_EX5_5.txt output_EX5_2.txt
1.367171259 2.62643861e-06 17                                 | 1.367171259 2.626438842e-06 17
2.385326409 2.495220071e-06 41                                | 2.385326409 2.495220138e-06 41
3.401583682 2.583320508e-06 89                                | 3.401583682 2.583320416e-06 89
4.412521673 2.266454159e-06 129                               | 4.412521673 2.266454118e-06 129
5.454827237 1.776827581e-06 225                               | 5.454827237 1.776827682e-06 225
6.434946136 1.522088096e-06 253                               | 6.434946136 1.522088094e-06 253
7.436757396 1.380191558e-06 393                               | 7.436757396 1.380191578e-06 393
8.444535568 1.220755212e-06 461                               | 8.444535568 1.220755206e-06 461
9.458928972 1.129527843e-06 613                               | 9.458928972 1.129527835e-06 613
10.46210466 1.008639371e-06 713                               | 10.46210466 1.008639405e-06 713
11.44954903 8.453232457e-07 845                               | 11.44954903 8.453232479e-07 845
12.45324773 8.016440541e-07 1025                              | 12.45324773 8.016440676e-07 1025
13.47758609 6.957773102e-07 1229                              | 13.47758609 6.957773027e-07 1229
14.47601472 6.447197026e-07 1313                              | 14.47601472 6.447197069e-07 1313
15.46860292 5.716458189e-07 1585                              | 15.46860292 5.716458181e-07 1585
16.46572349 4.991153788e-07 1701                              | 16.46572349 4.991153791e-07 1701
17.46543308 4.787525207e-07 2021                              | 17.46543308 4.787525218e-07 2021
18.46898169 4.495582241e-07 2181                              | 18.46898169 4.495582283e-07 2181
19.47397238 4.240533794e-07 2473                              | 19.47397238 4.240533778e-07 2473
20.47820638 4.004300182e-07 2697                              | 20.47820638 4.004300178e-07 2697
21.47671439 3.710150925e-07 2949                              | 21.47671439 3.710150916e-07 2949
22.47082386 3.469432812e-07 3237                              | 22.47082386 3.469432808e-07 3237
23.47569929 3.21478498e-07 3577                               | 23.47569929 3.214785e-07 3577
24.47364525 2.979537579e-07 3761                              | 24.47364525 2.97953759e-07 3761
25.47358607 2.797045967e-07 4249                              | 25.47358607 2.797045951e-07 4249
26.48254416 2.599481467e-07 4465                              | 26.48254416 2.599481476e-07 4465
27.48833039 2.52526034e-07 4937                               | 27.48833039 2.525260346e-07 4937
28.48344364 2.380715874e-07 5013                              | 28.48344364 2.380715887e-07 5013
29.47958157 2.237333423e-07 5677                              | 29.47958157 2.23733341e-07 5677
30.47376335 2.172326429e-07 5773                              | 30.47376335 2.172326455e-07 5773
31.47818108 2.00748069e-07 6489                               | 31.47818108 2.007480683e-07 6489
32.48172678 1.971632153e-07 6653                              | 32.48172678 1.971632158e-07 6653
33.4843691 1.881193303e-07 7229                               | 33.4843691 1.881193291e-07 7229
35.48604077 1.809854143e-07 8033                              | 35.48604077 1.809854135e-07 8033
36.48713993 1.682686437e-07 8469                              | 36.48713993 1.682686446e-07 8469
37.48215335 1.660635201e-07 8889                              | 37.48215335 1.6606352e-07 8889
38.48147449 1.596185958e-07 9441                              | 38.48147449 1.596185952e-07 9441
39.48354926 1.549027589e-07 9965                              | 39.48354926 1.549027598e-07 9965
40.48010208 1.540959068e-07 10309                             | 40.48010208 1.540959034e-07 10309
41.48015446 1.499889136e-07 11033                             | 41.48015446 1.499889138e-07 11033
42.48181226 1.466892539e-07 11433                             | 42.48181226 1.466892547e-07 11433
43.48736144 1.470334976e-07 12169                             | 43.48736144 1.47033498e-07 12169
44.49186508 1.451862622e-07 12561                             | 44.49186508 1.451862621e-07 12561
45.49170761 1.438459004e-07 13157                             | 45.49170761 1.438458995e-07 13157
46.4864259 1.440651419e-07 13553                              | 46.4864259 1.440651408e-07 13553
47.48236471 1.477124153e-07 14393                             | 47.48236471 1.477124148e-07 14393
48.48399907 1.468181883e-07 14869                             | 48.48399907 1.468181901e-07 14869
49.48505401 1.509145135e-07 15641                             | 49.48505401 1.509145134e-07 15641


[daint][yyuqi@daint-ln002 EX13]$ diff -y --suppress-common-lines output_EX5_5.txt output_EX5_4.txt
1.367171259 2.62643861e-06 17                                 | 1.367171259 2.626438841e-06 17
2.385326409 2.495220071e-06 41                                | 2.385326409 2.495220277e-06 41
3.401583682 2.583320508e-06 89                                | 3.401583682 2.583320393e-06 89
4.412521673 2.266454159e-06 129                               | 4.412521673 2.266454197e-06 129
5.454827237 1.776827581e-06 225                               | 5.454827237 1.776827652e-06 225
6.434946136 1.522088096e-06 253                               | 6.434946136 1.522088083e-06 253
7.436757396 1.380191558e-06 393                               | 7.436757396 1.380191581e-06 393
9.458928972 1.129527843e-06 613                               | 9.458928972 1.129527813e-06 613
10.46210466 1.008639371e-06 713                               | 10.46210466 1.008639358e-06 713
11.44954903 8.453232457e-07 845                               | 11.44954903 8.453232489e-07 845
12.45324773 8.016440541e-07 1025                              | 12.45324773 8.016440685e-07 1025
13.47758609 6.957773102e-07 1229                              | 13.47758609 6.957773041e-07 1229
14.47601472 6.447197026e-07 1313                              | 14.47601472 6.447197044e-07 1313
15.46860292 5.716458189e-07 1585                              | 15.46860292 5.716458219e-07 1585
16.46572349 4.991153788e-07 1701                              | 16.46572349 4.991153818e-07 1701
17.46543308 4.787525207e-07 2021                              | 17.46543308 4.78752522e-07 2021
18.46898169 4.495582241e-07 2181                              | 18.46898169 4.495582296e-07 2181
19.47397238 4.240533794e-07 2473                              | 19.47397238 4.24053378e-07 2473
20.47820638 4.004300182e-07 2697                              | 20.47820638 4.004300215e-07 2697
21.47671439 3.710150925e-07 2949                              | 21.47671439 3.710150886e-07 2949
22.47082386 3.469432812e-07 3237                              | 22.47082386 3.469432793e-07 3237
23.47569929 3.21478498e-07 3577                               | 23.47569929 3.21478501e-07 3577
24.47364525 2.979537579e-07 3761                              | 24.47364525 2.979537589e-07 3761
25.47358607 2.797045967e-07 4249                              | 25.47358607 2.797045947e-07 4249
26.48254416 2.599481467e-07 4465                              | 26.48254416 2.599481479e-07 4465
27.48833039 2.52526034e-07 4937                               | 27.48833039 2.525260361e-07 4937
28.48344364 2.380715874e-07 5013                              | 28.48344364 2.380715905e-07 5013
29.47958157 2.237333423e-07 5677                              | 29.47958157 2.237333421e-07 5677
30.47376335 2.172326429e-07 5773                              | 30.47376335 2.172326404e-07 5773
31.47818108 2.00748069e-07 6489                               | 31.47818108 2.007480697e-07 6489
33.4843691 1.881193303e-07 7229                               | 33.4843691 1.8811933e-07 7229
34.48673843 1.814583001e-07 7561                              | 34.48673843 1.814583002e-07 7561
35.48604077 1.809854143e-07 8033                              | 35.48604077 1.809854141e-07 8033
36.48713993 1.682686437e-07 8469                              | 36.48713993 1.68268644e-07 8469
37.48215335 1.660635201e-07 8889                              | 37.48215335 1.660635207e-07 8889
38.48147449 1.596185958e-07 9441                              | 38.48147449 1.596185964e-07 9441
39.48354926 1.549027589e-07 9965                              | 39.48354926 1.549027602e-07 9965
40.48010208 1.540959068e-07 10309                             | 40.48010208 1.540959065e-07 10309
41.48015446 1.499889136e-07 11033                             | 41.48015446 1.499889142e-07 11033
42.48181226 1.466892539e-07 11433                             | 42.48181226 1.466892541e-07 11433
43.48736144 1.470334976e-07 12169                             | 43.48736144 1.470335001e-07 12169
44.49186508 1.451862622e-07 12561                             | 44.49186508 1.451862634e-07 12561
45.49170761 1.438459004e-07 13157                             | 45.49170761 1.438459018e-07 13157
46.4864259 1.440651419e-07 13553                              | 46.4864259 1.44065143e-07 13553
47.48236471 1.477124153e-07 14393                             | 47.48236471 1.47712415e-07 14393
48.48399907 1.468181883e-07 14869                             | 48.48399907 1.468181894e-07 14869
49.48505401 1.509145135e-07 15641                             | 49.48505401 1.509145139e-07 15641
